Year,zip,Borough,Neighborhood,Percentage,Number
16,10001,MANHATTAN,CHELSEA AND CLINTON,0.018793706,5695
16,10002,MANHATTAN,LOWER EAST SIDE,0.022465035,18222.22222
16,10003,MANHATTAN,LOWER EAST SIDE,0.022465035,9718.518519
16,10004,MANHATTAN,LOWER MANHATTAN,0.003409091,0
16,10005,MANHATTAN,LOWER MANHATTAN,0.003409091,399.8959417
16,10006,MANHATTAN,LOWER MANHATTAN,0.003409091,1999.479709
16,10007,MANHATTAN,LOWER MANHATTAN,0.003409091,6798.231009
16,10009,MANHATTAN,LOWER EAST SIDE,0.022465035,17918.51852
16,10010,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.01048951,3199.167534
16,10011,MANHATTAN,CHELSEA AND CLINTON,0.018793706,13065
16,10012,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.014248252,13996.35796
16,10013,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.014248252,13996.35796
16,10014,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.014248252,9597.502601
16,10016,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.01048951,7598.022893
16,10017,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.01048951,1199.687825
16,10018,MANHATTAN,CHELSEA AND CLINTON,0.018793706,1675
16,10019,MANHATTAN,CHELSEA AND CLINTON,0.018793706,8375
16,10021,MANHATTAN,UPPER EAST SIDE,0.029807692,8216.666667
16,10022,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.01048951,9597.502601
16,10023,MANHATTAN,UPPER WEST SIDE,0.034090909,7625.675676
16,10024,MANHATTAN,UPPER WEST SIDE,0.034090909,11297.2973
16,10025,MANHATTAN,UPPER WEST SIDE,0.034090909,25418.91892
16,10026,MANHATTAN,CENTRAL HARLEM,0.033653846,17103.65854
16,10027,MANHATTAN,CENTRAL HARLEM,0.033653846,16792.68293
16,10028,MANHATTAN,UPPER EAST SIDE,0.029807692,19333.33333
16,10029,MANHATTAN,EAST HARLEM,0.018006993,16625
16,10030,MANHATTAN,CENTRAL HARLEM,0.033653846,10262.19512
16,10031,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.043618881,16027.27273
16,10032,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.043618881,12509.09091
16,10033,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.043618881,11140.90909
16,10034,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.043618881,6840.909091
16,10035,MANHATTAN,EAST HARLEM,0.018006993,10579.54545
16,10036,MANHATTAN,CHELSEA AND CLINTON,0.018793706,7370
16,10037,MANHATTAN,CENTRAL HARLEM,0.033653846,3731.707317
16,10038,MANHATTAN,LOWER MANHATTAN,0.003409091,5598.543184
16,10039,MANHATTAN,CENTRAL HARLEM,0.033653846,7463.414634
16,10040,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.043618881,6254.545455
16,10044,MANHATTAN,UPPER EAST SIDE,0.029807692,483.3333333
16,10065,MANHATTAN,UPPER EAST SIDE,0.029807692,7250
16,10069,MANHATTAN,UPPER WEST SIDE,#N/A,399.8959417
16,10075,MANHATTAN,UPPER EAST SIDE,0.029807692,966.6666667
16,10121,MANHATTAN,UPPER WEST SIDE,#N/A,0
16,10128,MANHATTAN,UPPER EAST SIDE,0.029807692,21750
16,10301,STATEN ISLAND,STAPLETON AND ST. GEORGE,0.011713287,5198.647242
16,10302,STATEN ISLAND,PORT RICHMOND,0.010751748,9997.398543
16,10303,STATEN ISLAND,PORT RICHMOND,0.010751748,10797.19043
16,10304,STATEN ISLAND,STAPLETON AND ST. GEORGE,0.011713287,10797.19043
16,10305,STATEN ISLAND,STAPLETON AND ST. GEORGE,0.011713287,9597.502601
16,10306,STATEN ISLAND,SOUTH SHORE,0.015472028,60060
16,10307,STATEN ISLAND,SOUTH SHORE,0.015472028,10010
16,10308,STATEN ISLAND,SOUTH SHORE,0.015472028,30030
16,10309,STATEN ISLAND,SOUTH SHORE,0.015472028,14300
16,10310,STATEN ISLAND,PORT RICHMOND,0.010751748,10397.29448
16,10312,STATEN ISLAND,SOUTH SHORE,0.015472028,60060
16,10314,STATEN ISLAND,MID ISLAND,0.00979021,12396.77419
16,10451,BRONX,HIGH BRIDGE AND MORRISANIA,0.038461538,8495.967742
16,10452,BRONX,HIGH BRIDGE AND MORRISANIA,0.038461538,13435.48387
16,10453,BRONX,CENTRAL BRONX,0.04291958,13983.56164
16,10454,BRONX,HUNTS POINT AND MOTT HAVEN,0.031555944,9353.846154
16,10455,BRONX,HUNTS POINT AND MOTT HAVEN,0.031555944,13738.46154
16,10456,BRONX,HIGH BRIDGE AND MORRISANIA,0.038461538,17584.67742
16,10457,BRONX,CENTRAL BRONX,0.04291958,19664.38356
16,10458,BRONX,BRONX PARK AND FORDHAM,0.052272727,19804.86111
16,10459,BRONX,HUNTS POINT AND MOTT HAVEN,0.031555944,21923.07692
16,10460,BRONX,CENTRAL BRONX,0.04291958,13983.56164
16,10461,BRONX,SOUTHEAST BRONX,0.03986014,8225
16,10462,BRONX,SOUTHEAST BRONX,0.03986014,19191.66667
16,10463,BRONX,KINGSBRIDGE AND RIVERDALE,0.011363636,21194.48491
16,10464,BRONX,SOUTHEAST BRONX,0.03986014,0
16,10465,BRONX,SOUTHEAST BRONX,0.03986014,6266.666667
16,10466,BRONX,NORTHEAST BRONX,0.013986014,23193.96462
16,10467,BRONX,BRONX PARK AND FORDHAM,0.052272727,24568.05556
16,10468,BRONX,BRONX PARK AND FORDHAM,0.052272727,20055.55556
16,10469,BRONX,NORTHEAST BRONX,0.013986014,20794.58897
16,10470,BRONX,NORTHEAST BRONX,0.013986014,5598.543184
16,10471,BRONX,KINGSBRIDGE AND RIVERDALE,0.011363636,4398.855359
16,10472,BRONX,SOUTHEAST BRONX,0.03986014,18408.33333
16,10473,BRONX,SOUTHEAST BRONX,0.03986014,7833.333333
16,10474,BRONX,HUNTS POINT AND MOTT HAVEN,0.031555944,4969.230769
16,10475,BRONX,NORTHEAST BRONX,0.013986014,799.7918835
16,11001,QUEENS,NORTHWEST QUEENS,#N/A,1199.687825
16,11004,QUEENS,SOUTHEAST QUEENS,0.008741259,399.8959417
16,11101,QUEENS,NORTHWEST QUEENS,0.01756993,21488.46154
16,11102,QUEENS,NORTHWEST QUEENS,0.01756993,6388.461538
16,11103,QUEENS,NORTHWEST QUEENS,0.01756993,13357.69231
16,11104,QUEENS,NORTHWEST QUEENS,0.01756993,6969.230769
16,11105,QUEENS,NORTHWEST QUEENS,0.01756993,7550
16,11106,QUEENS,NORTHWEST QUEENS,0.01756993,10453.84615
16,11201,BROOKLYN,NORTHWEST BROOKLYN,0.045716783,15310.29412
16,11203,BROOKLYN,FLATBUSH,0.051748252,30053.33333
16,11204,BROOKLYN,BOROUGH PARK,0.01215035,6398.335068
16,11205,BROOKLYN,NORTHWEST BROOKLYN,0.045716783,23757.35294
16,11206,BROOKLYN,BUSHWICK AND WILLIAMSBURG,0.047027972,41222.22222
16,11207,BROOKLYN,EAST NEW YORK AND NEW LOTS,0.026923077,63617.3913
16,11208,BROOKLYN,EAST NEW YORK AND NEW LOTS,0.026923077,38991.30435
16,11209,BROOKLYN,SOUTHWEST BROOKLYN,0.00743007,8797.710718
16,11210,BROOKLYN,FLATBUSH,0.051748252,9123.333333
16,11211,BROOKLYN,GREENPOINT,0.023513986,29722
16,11212,BROOKLYN,CENTRAL BROOKLYN,0.104545455,25628.57143
16,11213,BROOKLYN,CENTRAL BROOKLYN,0.104545455,36400
16,11214,BROOKLYN,SOUTHWEST BROOKLYN,0.00743007,7198.126951
16,11215,BROOKLYN,NORTHWEST BROOKLYN,0.045716783,55433.82353
16,11216,BROOKLYN,CENTRAL BROOKLYN,0.104545455,43457.14286
16,11217,BROOKLYN,NORTHWEST BROOKLYN,0.045716783,40123.52941
16,11218,BROOKLYN,BOROUGH PARK,0.01215035,9997.398543
16,11219,BROOKLYN,BOROUGH PARK,0.01215035,6398.335068
16,11220,BROOKLYN,SUNSET PARK,0.004370629,9997.398543
16,11221,BROOKLYN,BUSHWICK AND WILLIAMSBURG,0.047027972,96356.94444
16,11222,BROOKLYN,GREENPOINT,0.023513986,17370
16,11223,BROOKLYN,SOUTHERN BROOKLYN,0.013811189,11197.08637
16,11224,BROOKLYN,SOUTHERN BROOKLYN,0.013811189,6798.231009
16,11225,BROOKLYN,FLATBUSH,0.051748252,28443.33333
16,11226,BROOKLYN,FLATBUSH,0.051748252,37030
16,11228,BROOKLYN,SOUTHWEST BROOKLYN,0.00743007,3599.063476
16,11229,BROOKLYN,SOUTHERN BROOKLYN,0.013811189,6798.231009
16,11230,BROOKLYN,BOROUGH PARK,0.01215035,9597.502601
16,11231,BROOKLYN,NORTHWEST BROOKLYN,0.045716783,14782.35294
16,11232,BROOKLYN,SUNSET PARK,0.004370629,3599.063476
16,11233,BROOKLYN,CENTRAL BROOKLYN,0.104545455,43828.57143
16,11234,BROOKLYN,CANARSIE AND FLATLANDS,0.010402098,17195.52549
16,11235,BROOKLYN,SOUTHERN BROOKLYN,0.013811189,13596.46202
16,11236,BROOKLYN,CANARSIE AND FLATLANDS,0.010402098,17995.31738
16,11237,BROOKLYN,BUSHWICK AND WILLIAMSBURG,#N/A,35990.63476
16,11238,BROOKLYN,CENTRAL BROOKLYN,0.104545455,32685.71429
16,11249,BROOKLYN,FLATBUSH,#N/A,9197.60666
16,11354,QUEENS,NORTH QUEENS,0.009615385,3199.167534
16,11355,QUEENS,NORTH QUEENS,0.009615385,5198.647242
16,11356,QUEENS,NORTH QUEENS,0.009615385,1199.687825
16,11357,QUEENS,NORTH QUEENS,0.009615385,5998.439126
16,11358,QUEENS,NORTH QUEENS,0.009615385,5198.647242
16,11360,QUEENS,NORTH QUEENS,0.009615385,2399.37565
16,11361,QUEENS,NORTHEAST QUEENS,0.003234266,5998.439126
16,11362,QUEENS,NORTHEAST QUEENS,0.003234266,399.8959417
16,11363,QUEENS,NORTHEAST QUEENS,0.003234266,399.8959417
16,11364,QUEENS,NORTHEAST QUEENS,0.003234266,799.7918835
16,11365,QUEENS,CENTRAL QUEENS,0.001223776,1999.479709
16,11366,QUEENS,CENTRAL QUEENS,0.001223776,1999.479709
16,11367,QUEENS,CENTRAL QUEENS,0.001223776,1199.687825
16,11368,QUEENS,WEST QUEENS,0.031031469,42550
16,11369,QUEENS,WEST QUEENS,0.031031469,6900
16,11370,QUEENS,WEST QUEENS,0.031031469,6900
16,11372,QUEENS,WEST QUEENS,0.031031469,43700
16,11373,QUEENS,WEST QUEENS,0.031031469,33350
16,11374,QUEENS,WEST CENTRAL QUEENS,0.02229021,11982.35294
16,11375,QUEENS,WEST CENTRAL QUEENS,0.02229021,5705.882353
16,11377,QUEENS,WEST QUEENS,0.031031469,40250
16,11378,QUEENS,WEST QUEENS,0.031031469,24150
16,11379,QUEENS,WEST CENTRAL QUEENS,0.02229021,10841.17647
16,11385,QUEENS,WEST CENTRAL QUEENS,0.02229021,57058.82353
16,11411,QUEENS,SOUTHEAST QUEENS,0.008741259,1999.479709
16,11412,QUEENS,JAMAICA,0.028583916,14070
16,11413,QUEENS,SOUTHEAST QUEENS,0.008741259,6798.231009
16,11414,QUEENS,SOUTHWEST QUEENS,0.019667832,6796.428571
16,11415,QUEENS,SOUTHWEST QUEENS,0.019667832,2471.428571
16,11416,QUEENS,SOUTHWEST QUEENS,0.019667832,8032.142857
16,11417,QUEENS,SOUTHWEST QUEENS,0.019667832,12975
16,11418,QUEENS,SOUTHWEST QUEENS,0.019667832,11121.42857
16,11419,QUEENS,SOUTHWEST QUEENS,0.019667832,14828.57143
16,11420,QUEENS,SOUTHWEST QUEENS,0.019667832,15446.42857
16,11421,QUEENS,SOUTHWEST QUEENS,0.019667832,3707.142857
16,11422,QUEENS,SOUTHEAST QUEENS,0.008741259,2399.37565
16,11423,QUEENS,JAMAICA,0.028583916,8710
16,11426,QUEENS,SOUTHEAST QUEENS,0.008741259,2799.271592
16,11427,QUEENS,SOUTHEAST QUEENS,0.008741259,1999.479709
16,11428,QUEENS,SOUTHEAST QUEENS,0.008741259,2799.271592
16,11429,QUEENS,SOUTHEAST QUEENS,0.008741259,6398.335068
16,11432,QUEENS,JAMAICA,0.028583916,25460
16,11433,QUEENS,JAMAICA,0.028583916,31490
16,11434,QUEENS,JAMAICA,0.028583916,21440
16,11435,QUEENS,JAMAICA,0.028583916,15410
16,11436,QUEENS,JAMAICA,0.028583916,8710
16,11691,QUEENS,ROCKAWAYS,0.003671329,4798.751301
16,11692,QUEENS,ROCKAWAYS,0.003671329,2399.37565
16,11693,QUEENS,ROCKAWAYS,0.003671329,799.7918835
16,11694,QUEENS,ROCKAWAYS,0.003671329,799.7918835
