Year,zip,Borough,Neighborhood,Percentage,Number
13,10001,MANHATTAN,CHELSEA AND CLINTON,0.018427378,6533.333333
13,10002,MANHATTAN,LOWER EAST SIDE,0.02621037,27577.77778
13,10003,MANHATTAN,LOWER EAST SIDE,0.02621037,11355.55556
13,10004,MANHATTAN,LOWER MANHATTAN,0.0059517,432.9370629
13,10005,MANHATTAN,LOWER MANHATTAN,0.0059517,432.9370629
13,10006,MANHATTAN,LOWER MANHATTAN,0.0059517,1298.811189
13,10007,MANHATTAN,LOWER MANHATTAN,0.0059517,4762.307692
13,10009,MANHATTAN,LOWER EAST SIDE,0.02621037,12166.66667
13,10010,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.012246767,865.8741259
13,10011,MANHATTAN,CHELSEA AND CLINTON,0.018427378,16333.33333
13,10012,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.018312922,11581.25
13,10013,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.018312922,17712.5
13,10014,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.018312922,21118.75
13,10016,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.012246767,7792.867133
13,10017,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.012246767,865.8741259
13,10018,MANHATTAN,CHELSEA AND CLINTON,0.018427378,1088.888889
13,10019,MANHATTAN,CHELSEA AND CLINTON,0.018427378,7077.777778
13,10021,MANHATTAN,UPPER EAST SIDE,0.029071764,8666.666667
13,10022,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.012246767,8225.804196
13,10023,MANHATTAN,UPPER WEST SIDE,0.047384686,14268.29268
13,10024,MANHATTAN,UPPER WEST SIDE,0.047384686,12347.56098
13,10025,MANHATTAN,UPPER WEST SIDE,0.047384686,20304.87805
13,10026,MANHATTAN,CENTRAL HARLEM,0.042692,12241.02564
13,10027,MANHATTAN,CENTRAL HARLEM,0.042692,16414.10256
13,10028,MANHATTAN,UPPER EAST SIDE,0.029071764,22533.33333
13,10029,MANHATTAN,EAST HARLEM,0.019686391,10969.23077
13,10030,MANHATTAN,CENTRAL HARLEM,0.042692,9737.179487
13,10031,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.051619549,14050.72464
13,10032,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.051619549,10839.13043
13,10033,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.051619549,11441.30435
13,10034,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.051619549,6423.188406
13,10035,MANHATTAN,EAST HARLEM,0.019686391,13446.15385
13,10036,MANHATTAN,CHELSEA AND CLINTON,0.018427378,17966.66667
13,10037,MANHATTAN,CENTRAL HARLEM,0.042692,2503.846154
13,10038,MANHATTAN,LOWER MANHATTAN,0.0059517,5195.244755
13,10039,MANHATTAN,CENTRAL HARLEM,0.042692,2503.846154
13,10040,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.051619549,5620.289855
13,10044,MANHATTAN,UPPER EAST SIDE,0.029071764,0
13,10065,MANHATTAN,UPPER EAST SIDE,0.029071764,11266.66667
13,10069,MANHATTAN,UPPER WEST SIDE,#N/A,0
13,10075,MANHATTAN,UPPER EAST SIDE,0.029071764,9533.333333
13,10128,MANHATTAN,UPPER EAST SIDE,0.029071764,36400
13,10162,MANHATTAN,UPPER WEST SIDE,#N/A,432.9370629
13,10282,MANHATTAN,LOWER MANHATTAN,#N/A,0
13,10301,STATEN ISLAND,STAPLETON AND ST. GEORGE,0.014993705,9091.678322
13,10302,STATEN ISLAND,PORT RICHMOND,0.010072107,7359.93007
13,10303,STATEN ISLAND,PORT RICHMOND,0.010072107,7359.93007
13,10304,STATEN ISLAND,STAPLETON AND ST. GEORGE,0.014993705,16451.60839
13,10305,STATEN ISLAND,STAPLETON AND ST. GEORGE,0.014993705,10390.48951
13,10306,STATEN ISLAND,SOUTH SHORE,0.021746595,19250
13,10307,STATEN ISLAND,SOUTH SHORE,0.021746595,8983.333333
13,10308,STATEN ISLAND,SOUTH SHORE,0.021746595,12191.66667
