Year,zip,Borough,Neighborhood,Percentage,Number
18,10001,MANHATTAN,CHELSEA AND CLINTON,0.014303264,7253.271028
18,10002,MANHATTAN,LOWER EAST SIDE,0.021235521,12833.33333
18,10003,MANHATTAN,LOWER EAST SIDE,0.021235521,9496.666667
18,10004,MANHATTAN,LOWER MANHATTAN,0.005528256,1813.317757
18,10005,MANHATTAN,LOWER MANHATTAN,0.005528256,725.3271028
18,10006,MANHATTAN,LOWER MANHATTAN,0.005528256,1087.990654
18,10007,MANHATTAN,LOWER MANHATTAN,0.005528256,2538.64486
18,10009,MANHATTAN,LOWER EAST SIDE,0.021235521,16683.33333
18,10010,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008599509,7253.271028
18,10011,MANHATTAN,CHELSEA AND CLINTON,0.014303264,14506.54206
18,10012,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.011144261,9066.588785
18,10013,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.011144261,9429.252336
18,10014,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.011144261,8703.925234
18,10016,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008599509,9066.588785
18,10017,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008599509,1087.990654
18,10018,MANHATTAN,CHELSEA AND CLINTON,0.014303264,4714.626168
18,10019,MANHATTAN,CHELSEA AND CLINTON,0.014303264,8341.261682
18,10021,MANHATTAN,UPPER EAST SIDE,0.021674272,11128.57143
18,10022,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008599509,5439.953271
18,10023,MANHATTAN,UPPER WEST SIDE,0.047385047,10812.19512
18,10024,MANHATTAN,UPPER WEST SIDE,0.047385047,26158.53659
18,10025,MANHATTAN,UPPER WEST SIDE,0.047385047,40109.7561
18,10026,MANHATTAN,CENTRAL HARLEM,0.045279045,21637
18,10027,MANHATTAN,CENTRAL HARLEM,0.045279045,15736
18,10028,MANHATTAN,UPPER EAST SIDE,0.021674272,19914.28571
