"Year","Borough","Neighborhood","Total"
13,"BROOKLYN","NORTHWEST BROOKLYN",174958.33334
13,"BROOKLYN","FLATBUSH",70891.095572
13,"BROOKLYN","BOROUGH PARK",35933.776224
13,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",107131.70732
13,"BROOKLYN","EAST NEW YORK AND NEW LOTS",134250
13,"BROOKLYN","SOUTHWEST BROOKLYN",25976.22378
13,"BROOKLYN","GREENPOINT",49680
13,"BROOKLYN","CENTRAL BROOKLYN",192516.36363
13,"BROOKLYN","SUNSET PARK",16451.608393
13,"BROOKLYN","SOUTHERN BROOKLYN",96800
13,"BROOKLYN","CANARSIE AND FLATLANDS",29872.65734
13,"QUEENS","NORTH QUEENS",18616.2937059
13,"QUEENS","NORTHEAST QUEENS",3896.4335668
13,"QUEENS","CENTRAL QUEENS",8658.74126
13,"QUEENS","WEST QUEENS",88905.263169
13,"QUEENS","WEST CENTRAL QUEENS",66955.882352
13,"QUEENS","JAMAICA",123088.235297
13,"QUEENS","SOUTHWEST QUEENS",156510
13,"QUEENS","ROCKAWAYS",9957.552448
14,"MANHATTAN","CHELSEA AND CLINTON",43391.66666
14,"MANHATTAN","LOWER EAST SIDE",54347.61905
14,"MANHATTAN","LOWER MANHATTAN",10139.6178334
14,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",25349.044586
14,"MANHATTAN","GREENWICH VILLAGE AND SOHO",31900.000003
14,"MANHATTAN","UPPER EAST SIDE",59957.692306
14,"MANHATTAN","UPPER WEST SIDE",49802.9718754
14,"MANHATTAN","CENTRAL HARLEM",64894.117649
14,"MANHATTAN","EAST HARLEM",29640
14,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",55770.967739
14,"STATEN ISLAND","STAPLETON AND ST. GEORGE",59375
14,"STATEN ISLAND","PORT RICHMOND",28306.433116
14,"STATEN ISLAND","SOUTH SHORE",73125.000007
14,"STATEN ISLAND","MID ISLAND",23659.10828
14,"BRONX","HIGH BRIDGE AND MORRISANIA",45610.169487
14,"BRONX","CENTRAL BRONX",48964.61539
14,"BRONX","HUNTS POINT AND MOTT HAVEN",38911.290323
14,"BRONX","BRONX PARK AND FORDHAM",76537.14286
14,"BRONX","SOUTHEAST BRONX",66344.827589
14,"BRONX","KINGSBRIDGE AND RIVERDALE",20279.235667
14,"BRONX","NORTHEAST BRONX",44134.615383
14,"QUEENS","NORTHWEST QUEENS",59269.9681529
14,"QUEENS","SOUTHEAST QUEENS",27883.9490454
14,"BROOKLYN","NORTHWEST BROOKLYN",182688.46155
14,"BROOKLYN","FLATBUSH",61121.275606
14,"BROOKLYN","BOROUGH PARK",34221.210191
14,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",174878.13164
14,"BROOKLYN","EAST NEW YORK AND NEW LOTS",87289.47368
14,"BROOKLYN","SOUTHWEST BROOKLYN",16476.878981
14,"BROOKLYN","GREENPOINT",65695.45455
14,"BROOKLYN","CENTRAL BROOKLYN",183023.4375
14,"BROOKLYN","SUNSET PARK",8872.165605
14,"BROOKLYN","SOUTHERN BROOKLYN",39291.019099
14,"BROOKLYN","CANARSIE AND FLATLANDS",24926.56051
14,"QUEENS","NORTH QUEENS",20279.2356679
14,"QUEENS","NORTHEAST QUEENS",6759.7452229
14,"QUEENS","CENTRAL QUEENS",8449.6815284
14,"QUEENS","WEST QUEENS",84099.999993
14,"QUEENS","WEST CENTRAL QUEENS",79769.230769
14,"QUEENS","JAMAICA",132646.66666
14,"QUEENS","SOUTHWEST QUEENS",110499.999984
14,"QUEENS","ROCKAWAYS",16054.3949039
15,"MANHATTAN","CHELSEA AND CLINTON",39530.555556
15,"MANHATTAN","LOWER EAST SIDE",50124.13793
15,"MANHATTAN","LOWER MANHATTAN",10816.5921781
15,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",24838.100559
15,"MANHATTAN","GREENWICH VILLAGE AND SOHO",67000
15,"MANHATTAN","UPPER EAST SIDE",90112.5
15,"MANHATTAN","UPPER WEST SIDE",48471.428564
15,"MANHATTAN","CENTRAL HARLEM",49932.978718
15,"MANHATTAN","EAST HARLEM",25025
15,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",52216.216213
15,"STATEN ISLAND","STAPLETON AND ST. GEORGE",42064.52514
15,"STATEN ISLAND","PORT RICHMOND",27241.787705
15,"STATEN ISLAND","SOUTH SHORE",84211.111109
15,"STATEN ISLAND","MID ISLAND",18428.26816
15,"BRONX","HIGH BRIDGE AND MORRISANIA",46050.847461
15,"BRONX","CENTRAL BRONX",51847.5
15,"BRONX","HUNTS POINT AND MOTT HAVEN",38866.666671
15,"BRONX","BRONX PARK AND FORDHAM",64405.9322
15,"BRONX","SOUTHEAST BRONX",71882.608697
15,"BRONX","KINGSBRIDGE AND RIVERDALE",20831.955307
15,"BRONX","NORTHEAST BRONX",52031.25
15,"QUEENS","NORTHWEST QUEENS",60143.5367393
15,"QUEENS","SOUTHEAST QUEENS",29244.8603356
15,"BROOKLYN","NORTHWEST BROOKLYN",129918
15,"BROOKLYN","FLATBUSH",87435
15,"BROOKLYN","BOROUGH PARK",32449.776537
15,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",155321.97333
15,"BROOKLYN","EAST NEW YORK AND NEW LOTS",102857.14285
15,"BROOKLYN","SOUTHWEST BROOKLYN",17226.424582
15,"BROOKLYN","GREENPOINT",58040.625
15,"BROOKLYN","CENTRAL BROOKLYN",173150.64102
15,"BROOKLYN","SUNSET PARK",10415.977653
15,"BROOKLYN","SOUTHERN BROOKLYN",49068.181823
15,"BROOKLYN","CANARSIE AND FLATLANDS",23235.64246
15,"QUEENS","NORTH QUEENS",18428.2681572
15,"QUEENS","NORTHEAST QUEENS",5608.6033521
15,"QUEENS","CENTRAL QUEENS",8813.5195533
15,"QUEENS","WEST QUEENS",121714.285724
15,"QUEENS","WEST CENTRAL QUEENS",75199.999997
15,"QUEENS","JAMAICA",89178.57142
15,"QUEENS","SOUTHWEST QUEENS",59176.923071
15,"QUEENS","ROCKAWAYS",10816.592179
16,"MANHATTAN","CHELSEA AND CLINTON",36180
16,"MANHATTAN","LOWER EAST SIDE",45859.259259
16,"MANHATTAN","LOWER MANHATTAN",14796.1498437
16,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",21594.380853
16,"MANHATTAN","GREENWICH VILLAGE AND SOHO",37590.218521
16,"MANHATTAN","UPPER EAST SIDE",57999.999997
16,"MANHATTAN","UPPER WEST SIDE",44741.7878377
16,"MANHATTAN","CENTRAL HARLEM",55353.658541
16,"MANHATTAN","EAST HARLEM",27204.54545
16,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",52772.727276
16,"STATEN ISLAND","STAPLETON AND ST. GEORGE",25593.340273
16,"STATEN ISLAND","PORT RICHMOND",31191.883453
16,"STATEN ISLAND","SOUTH SHORE",174460
16,"STATEN ISLAND","MID ISLAND",12396.77419
16,"BRONX","HIGH BRIDGE AND MORRISANIA",39516.129032
16,"BRONX","CENTRAL BRONX",47631.50684
16,"BRONX","HUNTS POINT AND MOTT HAVEN",49984.615383
16,"BRONX","BRONX PARK AND FORDHAM",64428.47223
16,"BRONX","SOUTHEAST BRONX",59925
16,"BRONX","KINGSBRIDGE AND RIVERDALE",25593.340269
16,"BRONX","NORTHEAST BRONX",50386.8886575
16,"QUEENS","NORTHWEST QUEENS",67407.380132
16,"QUEENS","SOUTHEAST QUEENS",25593.3402707
16,"BROOKLYN","NORTHWEST BROOKLYN",149407.35294
16,"BROOKLYN","FLATBUSH",113847.606653
16,"BROOKLYN","BOROUGH PARK",32391.57128
16,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",173569.80142
16,"BROOKLYN","EAST NEW YORK AND NEW LOTS",102608.69565
16,"BROOKLYN","SOUTHWEST BROOKLYN",19594.901145
16,"BROOKLYN","GREENPOINT",47092
16,"BROOKLYN","CENTRAL BROOKLYN",182000.00001
16,"BROOKLYN","SUNSET PARK",13596.462019
16,"BROOKLYN","SOUTHERN BROOKLYN",38390.010408
16,"BROOKLYN","CANARSIE AND FLATLANDS",35190.84287
16,"QUEENS","NORTH QUEENS",23193.964619
16,"QUEENS","NORTHEAST QUEENS",7598.0228929
16,"QUEENS","CENTRAL QUEENS",5198.647243
16,"QUEENS","WEST QUEENS",197800
16,"QUEENS","WEST CENTRAL QUEENS",85588.235293
16,"QUEENS","JAMAICA",125290
16,"QUEENS","SOUTHWEST QUEENS",75378.571426
16,"QUEENS","ROCKAWAYS",8797.710718
17,"MANHATTAN","CHELSEA AND CLINTON",49666.666664
17,"MANHATTAN","LOWER EAST SIDE",48851.92307
17,"MANHATTAN","LOWER MANHATTAN",7844.5584299
17,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",22413.024086
17,"MANHATTAN","GREENWICH VILLAGE AND SOHO",35487.28813
17,"MANHATTAN","UPPER EAST SIDE",73062.5
17,"MANHATTAN","UPPER WEST SIDE",43961.403514
17,"MANHATTAN","CENTRAL HARLEM",47694.736838
17,"MANHATTAN","EAST HARLEM",31017.3913
17,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",52602.739726
17,"STATEN ISLAND","STAPLETON AND ST. GEORGE",35487.28813
17,"STATEN ISLAND","PORT RICHMOND",31004.683322
17,"STATEN ISLAND","SOUTH SHORE",45946.699374
17,"STATEN ISLAND","MID ISLAND",22413.02409
17,"BRONX","HIGH BRIDGE AND MORRISANIA",36338.513507
17,"BRONX","CENTRAL BRONX",58737.5
17,"BRONX","HUNTS POINT AND MOTT HAVEN",46375.510212
17,"BRONX","BRONX PARK AND FORDHAM",67803.75
17,"BRONX","SOUTHEAST BRONX",75406.25
17,"BRONX","KINGSBRIDGE AND RIVERDALE",22786.574491
17,"BRONX","NORTHEAST BRONX",58240
17,"QUEENS","NORTHWEST QUEENS",53479.474732
17,"QUEENS","SOUTHEAST QUEENS",26148.5281003
17,"BROOKLYN","NORTHWEST BROOKLYN",138541.30434
17,"BROOKLYN","FLATBUSH",91091.659233
17,"BROOKLYN","BOROUGH PARK",95900
17,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",151496.27701
17,"BROOKLYN","EAST NEW YORK AND NEW LOTS",93276.92308
17,"BROOKLYN","SOUTHWEST BROOKLYN",15315.566459
17,"BROOKLYN","GREENPOINT",63743.47826
17,"BROOKLYN","CENTRAL BROOKLYN",247061.90476
17,"BROOKLYN","SUNSET PARK",12327.163247
17,"BROOKLYN","SOUTHERN BROOKLYN",73981.25
17,"BROOKLYN","CANARSIE AND FLATLANDS",28389.83051
17,"QUEENS","NORTH QUEENS",25401.427298
17,"QUEENS","NORTHEAST QUEENS",8965.2096348
17,"QUEENS","CENTRAL QUEENS",4482.6048179
17,"QUEENS","WEST QUEENS",113586.206906
17,"QUEENS","WEST CENTRAL QUEENS",117692.307694
17,"QUEENS","JAMAICA",159489.473679
17,"QUEENS","SOUTHWEST QUEENS",112612.5
17,"QUEENS","ROCKAWAYS",13447.814452
18,"MANHATTAN","CHELSEA AND CLINTON",42068.971966
18,"MANHATTAN","LOWER EAST SIDE",39013.333327
18,"MANHATTAN","LOWER MANHATTAN",11967.8971962
18,"MANHATTAN","GRAMERCY PARK AND MURRAY HILL",22847.803738
18,"MANHATTAN","GREENWICH VILLAGE AND SOHO",27199.766355
18,"MANHATTAN","UPPER EAST SIDE",73214.285707
18,"MANHATTAN","UPPER WEST SIDE",77805.8149128
18,"MANHATTAN","CENTRAL HARLEM",66316
18,"MANHATTAN","EAST HARLEM",27391.30434
18,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",58900
18,"STATEN ISLAND","STAPLETON AND ST. GEORGE",39892.990658
18,"STATEN ISLAND","PORT RICHMOND",35178.364485
18,"STATEN ISLAND","SOUTH SHORE",67523.076926
18,"STATEN ISLAND","MID ISLAND",19583.83178
18,"BRONX","HIGH BRIDGE AND MORRISANIA",43627.118651
18,"BRONX","CENTRAL BRONX",60456.34921
18,"BRONX","HUNTS POINT AND MOTT HAVEN",45643.137252
18,"BRONX","BRONX PARK AND FORDHAM",56507.14286
18,"BRONX","SOUTHEAST BRONX",69666.666663
18,"BRONX","KINGSBRIDGE AND RIVERDALE",23935.794393
18,"BRONX","NORTHEAST BRONX",51178.94737
18,"QUEENS","NORTHWEST QUEENS",54287.990656
18,"QUEENS","SOUTHEAST QUEENS",26474.439253
18,"BROOKLYN","NORTHWEST BROOKLYN",177333.33333
18,"BROOKLYN","FLATBUSH",95073.989175
18,"BROOKLYN","BOROUGH PARK",149160
18,"BROOKLYN","BUSHWICK AND WILLIAMSBURG",171033.24333
18,"BROOKLYN","EAST NEW YORK AND NEW LOTS",119542.10526
18,"BROOKLYN","SOUTHWEST BROOKLYN",18858.504672
18,"BROOKLYN","GREENPOINT",92605.55555
18,"BROOKLYN","CENTRAL BROOKLYN",235107.79816
18,"BROOKLYN","SUNSET PARK",15957.196262
18,"BROOKLYN","SOUTHERN BROOKLYN",68333.333337
18,"BROOKLYN","CANARSIE AND FLATLANDS",30463.73832
18,"QUEENS","NORTH QUEENS",25749.1121496
18,"QUEENS","NORTHEAST QUEENS",15231.8691588
18,"QUEENS","CENTRAL QUEENS",6890.607477
18,"QUEENS","WEST QUEENS",130746
18,"QUEENS","WEST CENTRAL QUEENS",192850.00003
18,"QUEENS","JAMAICA",129493.181825
18,"QUEENS","SOUTHWEST QUEENS",90257.142862
18,"QUEENS","ROCKAWAYS",11967.897196
