Year,zip,Borough,Neighborhood,Percentage,Number
15,10001,MANHATTAN,CHELSEA AND CLINTON,0.020907224,8866.666667
15,10002,MANHATTAN,LOWER EAST SIDE,0.026787381,19034.48276
15,10003,MANHATTAN,LOWER EAST SIDE,0.026787381,13641.37931
15,10005,MANHATTAN,LOWER MANHATTAN,0.009240246,400.6145251
15,10006,MANHATTAN,LOWER MANHATTAN,0.009240246,0
15,10007,MANHATTAN,LOWER MANHATTAN,0.009240246,2403.687151
15,10009,MANHATTAN,LOWER EAST SIDE,0.026787381,17448.27586
15,10010,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008680231,7611.675978
15,10011,MANHATTAN,CHELSEA AND CLINTON,0.020907224,12561.11111
15,10012,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.019413851,24790
15,10013,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.019413851,20770
15,10014,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.019413851,21440
15,10016,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008680231,6810.446927
15,10017,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008680231,1602.458101
15,10018,MANHATTAN,CHELSEA AND CLINTON,0.020907224,2216.666667
15,10019,MANHATTAN,CHELSEA AND CLINTON,0.020907224,6280.555556
15,10020,MANHATTAN,CHELSEA AND CLINTON,0.020907224,0
15,10021,MANHATTAN,UPPER EAST SIDE,0.028560762,8100
15,10022,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008680231,8813.519553
15,10023,MANHATTAN,UPPER WEST SIDE,0.030147471,8914.285714
15,10024,MANHATTAN,UPPER WEST SIDE,0.030147471,12814.28571
15,10025,MANHATTAN,UPPER WEST SIDE,0.030147471,26742.85714
15,10026,MANHATTAN,CENTRAL HARLEM,0.03798768,8544.680851
15,10027,MANHATTAN,CENTRAL HARLEM,0.03798768,20827.65957
15,10028,MANHATTAN,UPPER EAST SIDE,0.028560762,26325
15,10029,MANHATTAN,EAST HARLEM,0.019227179,15950
15,10030,MANHATTAN,CENTRAL HARLEM,0.03798768,10146.80851
15,10031,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.056374837,14529.72973
15,10032,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.056374837,10443.24324
15,10033,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.056374837,15210.81081
15,10034,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.056374837,6356.756757
15,10035,MANHATTAN,EAST HARLEM,0.019227179,9075
15,10036,MANHATTAN,CHELSEA AND CLINTON,0.020907224,9605.555556
15,10037,MANHATTAN,CENTRAL HARLEM,0.03798768,5340.425532
15,10038,MANHATTAN,LOWER MANHATTAN,0.009240246,6810.446927
15,10039,MANHATTAN,CENTRAL HARLEM,0.03798768,5073.404255
15,10040,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.056374837,5675.675676
15,10044,MANHATTAN,UPPER EAST SIDE,0.028560762,0
15,10065,MANHATTAN,UPPER EAST SIDE,0.028560762,7087.5
15,10069,MANHATTAN,UPPER WEST SIDE,#N/A,0
15,10075,MANHATTAN,UPPER EAST SIDE,0.028560762,4050
15,10128,MANHATTAN,UPPER EAST SIDE,0.028560762,44550
15,10280,MANHATTAN,LOWER MANHATTAN,0.009240246,1201.843575
15,10301,STATEN ISLAND,STAPLETON AND ST. GEORGE,0.00849356,16024.58101
15,10302,STATEN ISLAND,PORT RICHMOND,0.012320329,6009.217877
15,10303,STATEN ISLAND,PORT RICHMOND,0.012320329,12819.6648
15,10304,STATEN ISLAND,STAPLETON AND ST. GEORGE,0.00849356,10415.97765
15,10305,STATEN ISLAND,STAPLETON AND ST. GEORGE,0.00849356,15623.96648
15,10306,STATEN ISLAND,SOUTH SHORE,0.015493746,30188.88889
15,10307,STATEN ISLAND,SOUTH SHORE,0.015493746,8738.888889
15,10308,STATEN ISLAND,SOUTH SHORE,0.015493746,17477.77778
15,10309,STATEN ISLAND,SOUTH SHORE,0.015493746,11122.22222
15,10310,STATEN ISLAND,PORT RICHMOND,0.012320329,8412.905028
15,10312,STATEN ISLAND,SOUTH SHORE,0.015493746,16683.33333
15,10314,STATEN ISLAND,MID ISLAND,0.004853463,18428.26816
15,10451,BRONX,HIGH BRIDGE AND MORRISANIA,0.039667724,6488.983051
15,10452,BRONX,HIGH BRIDGE AND MORRISANIA,0.039667724,14861.86441
15,10453,BRONX,CENTRAL BRONX,0.043307822,15810
15,10454,BRONX,HUNTS POINT AND MOTT HAVEN,0.030520814,7882.051282
15,10455,BRONX,HUNTS POINT AND MOTT HAVEN,0.030520814,9512.820513
15,10456,BRONX,HIGH BRIDGE AND MORRISANIA,0.039667724,24700
15,10457,BRONX,CENTRAL BRONX,0.043307822,21157.5
15,10458,BRONX,BRONX PARK AND FORDHAM,0.05450812,22862.71186
15,10459,BRONX,HUNTS POINT AND MOTT HAVEN,0.030520814,16035.89744
15,10460,BRONX,CENTRAL BRONX,0.043307822,14880
15,10461,BRONX,SOUTHEAST BRONX,0.027907411,7747.826087
15,10462,BRONX,SOUTHEAST BRONX,0.027907411,18078.26087
15,10463,BRONX,KINGSBRIDGE AND RIVERDALE,0.011106963,16425.19553
15,10464,BRONX,SOUTHEAST BRONX,0.027907411,1291.304348
15,10465,BRONX,SOUTHEAST BRONX,0.027907411,8178.26087
15,10466,BRONX,NORTHEAST BRONX,0.01810715,23906.25
15,10467,BRONX,BRONX PARK AND FORDHAM,0.05450812,22305.08475
15,10468,BRONX,BRONX PARK AND FORDHAM,0.05450812,19238.13559
15,10469,BRONX,NORTHEAST BRONX,0.01810715,22968.75
15,10470,BRONX,NORTHEAST BRONX,0.01810715,4218.75
15,10471,BRONX,KINGSBRIDGE AND RIVERDALE,0.011106963,4406.759777
15,10472,BRONX,SOUTHEAST BRONX,0.027907411,29700
15,10473,BRONX,SOUTHEAST BRONX,0.027907411,6886.956522
15,10474,BRONX,HUNTS POINT AND MOTT HAVEN,0.030520814,5435.897436
15,10475,BRONX,NORTHEAST BRONX,0.01810715,937.5
15,11001,QUEENS,NORTHWEST QUEENS,#N/A,801.2290503
15,11004,QUEENS,SOUTHEAST QUEENS,0.008680231,801.2290503
15,11101,QUEENS,NORTHWEST QUEENS,0.020440545,14969.23077
15,11102,QUEENS,NORTHWEST QUEENS,0.020440545,2673.076923
15,11103,QUEENS,NORTHWEST QUEENS,0.020440545,21384.61538
15,11104,QUEENS,NORTHWEST QUEENS,0.020440545,5880.769231
15,11105,QUEENS,NORTHWEST QUEENS,0.020440545,5880.769231
15,11106,QUEENS,NORTHWEST QUEENS,0.020440545,8553.846154
15,11201,BROOKLYN,NORTHWEST BROOKLYN,0.049654657,18350
15,11203,BROOKLYN,FLATBUSH,0.037894344,20445
15,11204,BROOKLYN,BOROUGH PARK,0.011293634,8813.519553
15,11205,BROOKLYN,NORTHWEST BROOKLYN,0.049654657,28626
15,11206,BROOKLYN,BUSHWICK AND WILLIAMSBURG,0.043307822,33338.70968
15,11207,BROOKLYN,EAST NEW YORK AND NEW LOTS,0.033040881,63642.85714
15,11208,BROOKLYN,EAST NEW YORK AND NEW LOTS,0.033040881,39214.28571
15,11209,BROOKLYN,SOUTHWEST BROOKLYN,0.010173605,4406.759777
15,11210,BROOKLYN,FLATBUSH,0.037894344,10875
15,11211,BROOKLYN,GREENPOINT,0.021187232,22178.125
15,11212,BROOKLYN,CENTRAL BROOKLYN,0.088669031,17509.61538
15,11213,BROOKLYN,CENTRAL BROOKLYN,0.088669031,26848.07692
15,11214,BROOKLYN,SOUTHWEST BROOKLYN,0.010173605,8412.905028
15,11215,BROOKLYN,NORTHWEST BROOKLYN,0.049654657,27892
15,11216,BROOKLYN,CENTRAL BROOKLYN,0.088669031,46303.20513
15,11217,BROOKLYN,NORTHWEST BROOKLYN,0.049654657,41104
15,11218,BROOKLYN,BOROUGH PARK,0.011293634,7211.061453
15,11219,BROOKLYN,BOROUGH PARK,0.011293634,9214.134078
15,11220,BROOKLYN,SUNSET PARK,0.005693485,6810.446927
15,11221,BROOKLYN,BUSHWICK AND WILLIAMSBURG,0.043307822,88732.25806
15,11222,BROOKLYN,GREENPOINT,0.021187232,35862.5
15,11223,BROOKLYN,SOUTHERN BROOKLYN,0.01586709,17895.45455
15,11224,BROOKLYN,SOUTHERN BROOKLYN,0.01586709,5772.727273
15,11225,BROOKLYN,FLATBUSH,0.037894344,20010
15,11226,BROOKLYN,FLATBUSH,0.037894344,36105
15,11228,BROOKLYN,SOUTHWEST BROOKLYN,0.010173605,4406.759777
15,11229,BROOKLYN,SOUTHERN BROOKLYN,0.01586709,11545.45455
15,11230,BROOKLYN,BOROUGH PARK,0.011293634,7211.061453
15,11231,BROOKLYN,NORTHWEST BROOKLYN,0.049654657,13946
15,11232,BROOKLYN,SUNSET PARK,0.005693485,3605.530726
15,11233,BROOKLYN,CENTRAL BROOKLYN,0.088669031,46303.20513
15,11234,BROOKLYN,CANARSIE AND FLATLANDS,0.012226993,10015.36313
15,11235,BROOKLYN,SOUTHERN BROOKLYN,0.01586709,13854.54545
15,11236,BROOKLYN,CANARSIE AND FLATLANDS,0.012226993,13220.27933
15,11237,BROOKLYN,BUSHWICK AND WILLIAMSBURG,#N/A,33251.00559
15,11238,BROOKLYN,CENTRAL BROOKLYN,0.088669031,36186.53846
15,11354,QUEENS,NORTH QUEENS,0.009333582,4406.759777
15,11355,QUEENS,NORTH QUEENS,0.009333582,7611.675978
15,11356,QUEENS,NORTH QUEENS,0.009333582,3204.916201
15,11357,QUEENS,NORTH QUEENS,0.009333582,2403.687151
15,11358,QUEENS,NORTH QUEENS,0.009333582,400.6145251
15,11360,QUEENS,NORTH QUEENS,0.009333582,400.6145251
15,11361,QUEENS,NORTHEAST QUEENS,0.003546761,2403.687151
15,11362,QUEENS,NORTHEAST QUEENS,0.003546761,1201.843575
15,11363,QUEENS,NORTHEAST QUEENS,0.003546761,400.6145251
15,11364,QUEENS,NORTHEAST QUEENS,0.003546761,1602.458101
15,11365,QUEENS,CENTRAL QUEENS,0.001680045,2403.687151
15,11366,QUEENS,CENTRAL QUEENS,0.001680045,801.2290503
15,11367,QUEENS,CENTRAL QUEENS,0.001680045,5608.603352
15,11368,QUEENS,WEST QUEENS,0.027907411,23582.14286
15,11369,QUEENS,WEST QUEENS,0.027907411,7607.142857
15,11370,QUEENS,WEST QUEENS,0.027907411,7607.142857
15,11372,QUEENS,WEST QUEENS,0.027907411,11410.71429
15,11373,QUEENS,WEST QUEENS,0.027907411,28146.42857
15,11374,QUEENS,WEST CENTRAL QUEENS,0.024267314,5936.842105
15,11375,QUEENS,WEST CENTRAL QUEENS,0.024267314,8410.526316
15,11377,QUEENS,WEST QUEENS,0.027907411,31950
15,11378,QUEENS,WEST QUEENS,0.027907411,11410.71429
15,11379,QUEENS,WEST CENTRAL QUEENS,0.024267314,8410.526316
15,11385,QUEENS,WEST CENTRAL QUEENS,0.024267314,52442.10526
15,11411,QUEENS,SOUTHEAST QUEENS,0.008680231,4807.374302
15,11412,QUEENS,JAMAICA,0.029400784,14592.85714
15,11413,QUEENS,SOUTHEAST QUEENS,0.008680231,9214.134078
15,11414,QUEENS,SOUTHWEST QUEENS,0.018573829,6038.461538
15,11415,QUEENS,SOUTHWEST QUEENS,0.018573829,2415.384615
15,11416,QUEENS,SOUTHWEST QUEENS,0.018573829,6038.461538
15,11417,QUEENS,SOUTHWEST QUEENS,0.018573829,12680.76923
15,11418,QUEENS,SOUTHWEST QUEENS,0.018573829,6038.461538
15,11419,QUEENS,SOUTHWEST QUEENS,0.018573829,8453.846154
15,11420,QUEENS,SOUTHWEST QUEENS,0.018573829,11473.07692
15,11421,QUEENS,SOUTHWEST QUEENS,0.018573829,6038.461538
15,11422,QUEENS,SOUTHEAST QUEENS,0.008680231,3605.530726
15,11423,QUEENS,JAMAICA,0.029400784,2702.380952
15,11426,QUEENS,SOUTHEAST QUEENS,0.008680231,1602.458101
15,11427,QUEENS,SOUTHEAST QUEENS,0.008680231,2003.072626
15,11428,QUEENS,SOUTHEAST QUEENS,0.008680231,801.2290503
15,11429,QUEENS,SOUTHEAST QUEENS,0.008680231,6409.832402
15,11432,QUEENS,JAMAICA,0.029400784,15133.33333
15,11433,QUEENS,JAMAICA,0.029400784,20538.09524
15,11434,QUEENS,JAMAICA,0.029400784,10809.52381
15,11435,QUEENS,JAMAICA,0.029400784,16214.28571
15,11436,QUEENS,JAMAICA,0.029400784,9188.095238
15,11691,QUEENS,ROCKAWAYS,0.003546761,5608.603352
15,11692,QUEENS,ROCKAWAYS,0.003546761,1602.458101
15,11693,QUEENS,ROCKAWAYS,0.003546761,1201.843575
15,11694,QUEENS,ROCKAWAYS,0.003546761,2403.687151
