Year,zip,Borough,Neighborhood,Percentage,Number
17,10001,MANHATTAN,CHELSEA AND CLINTON,0.01836285,9436.666667
17,10002,MANHATTAN,LOWER EAST SIDE,0.023994124,17630.76923
17,10003,MANHATTAN,LOWER EAST SIDE,0.023994124,14692.30769
17,10004,MANHATTAN,LOWER MANHATTAN,0.003999021,1120.651204
17,10005,MANHATTAN,LOWER MANHATTAN,0.003999021,1494.201606
17,10006,MANHATTAN,LOWER MANHATTAN,0.003999021,1120.651204
17,10007,MANHATTAN,LOWER MANHATTAN,0.003999021,747.1008029
17,10009,MANHATTAN,LOWER EAST SIDE,0.023994124,16528.84615
17,10010,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008650943,6350.356824
17,10011,MANHATTAN,CHELSEA AND CLINTON,0.01836285,11423.33333
17,10012,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.009956745,11206.51204
17,10013,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.009956745,11580.06244
17,10014,MANHATTAN,GREENWICH VILLAGE AND SOHO,0.009956745,12700.71365
17,10016,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008650943,7471.008029
17,10017,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008650943,1494.201606
17,10018,MANHATTAN,CHELSEA AND CLINTON,0.01836285,4966.666667
17,10019,MANHATTAN,CHELSEA AND CLINTON,0.01836285,12913.33333
17,10021,MANHATTAN,UPPER EAST SIDE,0.019015751,12107.5
17,10022,MANHATTAN,GRAMERCY PARK AND MURRAY HILL,0.008650943,7097.457627
17,10023,MANHATTAN,UPPER WEST SIDE,0.037215376,5407.017544
17,10024,MANHATTAN,UPPER WEST SIDE,0.037215376,14340.35088
17,10025,MANHATTAN,UPPER WEST SIDE,0.037215376,24214.03509
17,10026,MANHATTAN,CENTRAL HARLEM,0.039010854,16221.05263
17,10027,MANHATTAN,CENTRAL HARLEM,0.039010854,13800
17,10028,MANHATTAN,UPPER EAST SIDE,0.019015751,22545
17,10029,MANHATTAN,EAST HARLEM,0.016812209,17915.21739
17,10030,MANHATTAN,CENTRAL HARLEM,0.039010854,10168.42105
17,10031,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.043826002,16643.83562
17,10032,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.043826002,12328.76712
17,10033,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.043826002,9246.575342
17,10034,MANHATTAN,INWOOD AND WASHINGTON HEIGHTS,0.043826002,7602.739726
